date,order_qty,Auto_m/c_jp,CommDyn_stats_Jp,El_cmp_inv_ind_m/c_jp,Elec_comp_ship_us,El_comp_ship_asia,El_comp_ship_cn,El_comp_ship_eu,El_comp_ship_gl,El_comp_ship_jp,El_comp_ship_acoustic,El_comp_ship_actuator,El_comp_ship_capacitor,El_comp_ship_connector,El_comp_ship_connectingParts,El_comp_ship_connectorType,El_comp_ship_conversionParts,El_comp_ship_highFreqComponents,El_comp_ship_inductor,El_comp_ship_electronicComp,El_comp_ship_passiveComponent,El_comp_ship_passiveOther,El_comp_ship_powerSupply,El_comp_ship_resistor,El_comp_ship_sensor,El_comp_ship_switch,El_comp_ship_trance,El_comp_ship_total,Env_friendly_car_glob,Food_m/c_ord/dedicatedm/m_jp,FPDMan_eq_jp,GenPurpose_Prod_m/c_ind_jp,ihs_glob_vehprod_eu,ihs_glob_vehprod_total,ihs_glob_vehprod_grch,ihs_glob_vehprod_jp,ihs_glob_vehprod_kr,ihs_glob_vehprod_afr,ihs_glob_vehprod_us,ihs_glob_vehprod_southam,ihs_glob_vehprod_southasia,Ind_mc_order_jp_cabinetoffice,Ind_robot_jp_minor,Ind_robot_ind_associa_jp_minorclass,Ind_robot_jp_shipping_minor,M/c_tool_jp_domestic_demand,M/c_tool_chhk_foreign_demand,M/c_tool_tw_foreign_demand,M/c_tool_kr_foreign_demand,M/c_tool_apac_foreign_demand,M/c_tool_eu_foreign_demand,M/c_tool_america_foreign_demand,M/c_tool_other_foreign_demand,M/c_tool_order_foreign_demand,M/c_tool_total_order_foreign_demand,Man_pmi_br,Man_pmi_cn,Man_pmi_eu,Man_pmi_ind,Man_pmi_in,Man_pmi_jp,Man_pmi_mx,Man_pmi_my,Man_pmi_ru,Man_pmi_th,Man_pmi_tr,Man_pmi_us,Man_pmi_vn,NewCar_no_glob,Pulp_proc_m/c_jp,Semi_man_eq_ship_semi_fpd_jp,Semi_man_eq_ship_semi_fpd_america,Semi_market_forecast_america,Semi_market_forecast_apac,Semi_market_forecast_eu,Semi_market_forecast_jp,Semi_market_forecast_total,Semi_fpd_global_analog,Semi_fpd_glob_discrete,Semi_fpd_glob_logic,Semi_fpd_glob_memory,Semi_fpd_glob_opto,Semi_fpd_glob_processor,Semi_fpd_glob_sensor_act,Semi_fpd_glob_america,Semi_fpd_glob_ch,Semi_fpd_glob_eu,Semi_fpd_glob_jp,Semi_fpd_glob_asia,Semi_fpd_glob_total,Stock_broadcom,Stock_intel,Stock_micron,Stock_nvidia,Stock_qualcom,Stock_stmicro,Stock_ti,Sox_Fpd_glob,Textile_m/c_jp,CP score
3/1/2019,235222500,43162,396350,82.2,338,767,1233,332,3466,798,146,256,1029,5,856,498,701,282,230,465,1443,3,182,139,298,353,40,3466,297938,12388,47593,103987,1674524,7161517,1981758,756360,301663,221718,1105518,290707,829269,826302,61994.12285,14446.93664,45818.39795,67433,20537,2264,3376,8900,21535,25913,67433,83702,151135,50.5,50.8,55.1,50.5,52.3,52.3,52.1,49.7,48.1,50.1,49,55.3,54.9,5690910,2925,188843,2377.9,8168704,23176808,3337214,3322525,38005251,4675704,2016733,9037966,12394057,3215923,5543786,1121082,,,,,,,221.77,48.1,52.79,244.86,64.09,21.57,111.32,1376,2787,1.89444
4/1/2019,114077800,43884,382990,81.8,363,855,1333,326,3619,742,126,269,1078,5,891,534,704,324,251,512,1511,3,187,140,308,351,37,3619,291591,10816,48047,87657,1179275,6965319,1942429,653749,291753,185934,1560984,347079,804116,786176,65799.13459,15751.64288,44849.3029,62372,18969,2513,2918,9541,17853,25048,62372,78019,140391,51.1,50.6,54.6,51.9,51.7,52.5,50.7,51.2,48.9,49.9,46.4,54.7,53.7,5776994,2502,181450,2236.8,9296113,25889302,3507201,3335171,42027787,4871308,2034250,9240725,15411571,3490892,5854976,1124065,,,,,,,219.03,48.43,52.52,280.68,68.71,20.69,112.4,1405,3001,2.93654
5/1/2019,93927500,43933,383180,88.5,330,797,1284,328,3528,790,129,282,1046,5,886,513,699,290,244,476,1465,2,185,135,288,367,37,3528,365323,7395,48097,93764,1781997,7763414,2302888,769942,288063,204602,1366341,265661,783920,746606,56977.04093,17811.01721,47409.02639,64412,18928,2497,2113,11360,20172,32823,64412,89042,153454,50.9,50,53.2,50.7,52.2,52.5,51.7,51.5,50,50,42.7,55.6,51.5,6284667,8160,214089,2078.6,11039817,26350858,3909256,3540741,44840672,5366316,2222114,9826475,16260056,3593586,6392450,1179675,,,,,,,246.73,47.29,45.23,281.02,72.03,18.34,107.29,1371,2035,2.59299
6/1/2019,98359500,47117,401890,87.5,390,852,1303,360,3800,899,171,279,1167,5,977,571,751,283,246,468,1602,2,184,147,300,400,38,3800,352002,13200,46488,88969,2009055,8453151,2281762,840646,378220,188452,1614428,316946,823642,768666,55376.56616,14786.1177,46894.56783,57655,15133,3218,3164,9830,22654,26559,57655,81964,139619,51.1,50.1,52,50.5,53.1,52.9,50.7,49.2,51.3,48.9,44.3,55.7,53.9,6109101,2704,200113,2029.2,9207248,23418727,3489972,3343938,39459885,5020888,1954163,9811500,12732540,3344147,5453204,1143443,,,,,,,223.49,46.88,37.72,210.83,62.89,15.23,92.83,1312,1941,1.749
7/1/2019,127387500,42934,402510,84.9,369,805,1229,348,3613,864,167,239,1117,4,920,526,708,264,234,447,1536,3,183,142,300,389,38,3613,387742,8348,46864,85483,2008518,8319366,2419155,845425,385031,202593,1436839,296873,724932,867587,57486.25043,18478.70162,40145.15337,57576,13602,2377,2488,10022,18302,26127,57576,74029,131605,52.7,50.2,51.8,50.4,54,52.2,49.7,48.2,52.6,49.8,44.7,55.3,56.5,6304622,5168,204672,1943.6,8501628,23703721,3534085,3285539,39024973,4674395,1941684,9322397,13314797,3176883,5515050,1079767,,,,,,,237.41,49.31,38.56,163.43,58.26,14.85,99.85,1250,2878,1.99639
8/1/2019,131811100,50760,436540,80.4,316,687,1013,267,3050,770,138,179,962,4,783,446,577,195,188,365,1324,2,170,132,260,332,37,3050,397073,8881,44146,82140,1425260,7098943,2417001,754316,351953,161867,1138151,211054,639341,705198,51759.69582,17293.85409,43750.45415,57152,15046,2027,3109,10169,19369,27198,57152,78370,135522,52.6,49.7,51.4,51.2,53.2,52.6,49.7,46.8,51.7,50.3,44.2,53.8,53.8,6527178,3918,168098,2104,7480283,22002285,3374830,3316194,36173592,4980673,2066447,9232976,9744888,3173552,5852222,1122834,,,,,,,254.28,46.93,31.73,133.5,56.91,13.88,94.5,1218,6419,2.30966
9/1/2019,106709800,37032,363840,81.1,381,767,1017,386,3260,711,149,190,1051,4,774,412,608,266,219,433,1444,2,166,131,268,357,38,3260,301244,5832,45591,76085,1756984,7642461,2268412,748435,349834,138979,1366587,216788,796442,649369,48885.42679,14654.06211,28661.92167,46772,16617,1839,1554,12915,19379,24595,46772,78629,125401,52.7,48.3,50.5,49.9,53.9,50.3,50.9,47.9,50.9,50.2,44.2,54.9,51.9,5710282,4011,164993,1896.3,5950687,19007603,3410052,2868808,31237150,4538941,1884278,8194733,7943155,2800129,4849632,1026282,,,,,,,268.25,47.12,38.22,143.75,49.52,15.84,100.68,1310,2053,2.4239
10/1/2019,117233500,38873,362540,85.1,316,604,785,355,2787,730,117,160,872,3,716,389,520,210,162,360,1190,2,149,117,242,322,34,2787,266301,8222,41582,75726,1912453,6916323,1348354,820454,253551,175915,1380317,291898,733381,687439,51379.14099,16957.02693,36369.45696,41668,14081,1581,2397,8988,18089,21307,41668,68074,109742,53.4,49.9,49.3,50.1,54.3,48.9,52.6,47.6,50.1,49.9,46.4,53,51.2,4986054,2515,150651,1868.1,5649028,19414999,3363382,2774356,31201765,4024082,1771509,7696648,9121796,2756225,4846894,984611,,,,,,,275.36,52.96,40.88,154.26,53.39,16.35,105.78,1389,2878,2.62825
11/1/2019,145389100,57926,416060,75.7,369,717,1028,366,3255,777,121,205,1013,4,847,430,592,244,202,426,1387,3,182,130,265,413,38,3255,410400,15137,41027,92554,1974750,8345580,2422802,857473,339384,201137,1482474,275498,792062,989082,55752.79599,26627.63546,44335.85191,53938,20105,1969,1861,7443,18652,24643,53938,76726,130664,52.8,50.8,47.5,51.2,52.6,49.2,49.8,47.2,52.8,50.3,47.2,52.4,51.9,7274620,6897,188209,1825.3,6554652,22432963,3509253,2916222,35413090,4748239,2289031,8623781,9932061,3255673,5341546,1222759,6554652,12819236,3509253,2916222,9613727,35413090,300.71,53.7,41.33,179.56,57.03,14.85,106.07,1478,4244,2.50711
12/1/2019,134135800,41308,387450,80.4,347,681,1060,340,3141,715,115,223,974,4,814,415,535,276,206,440,1350,2,164,129,195,394,37,3141,303920,8546,37156,95996,1790207,7389210,1954416,773503,366786,153447,1343012,299130,708709,675784,60180.45639,14211.58646,36828.37999,43520,15620,2454,2679,6193,16073,20130,43524,65132,108656,51.5,50.2,47.9,50.4,51.8,50.2,50.1,49.4,51.8,51,46.8,52.6,52.5,5679950,3294,178729,1922,5369549,19212940,3242951,2882371,30707811,4353510,1897044,8430477,6730971,3326314,4935558,1070249,5366282,10687942,3245857,2883838,8535200,30719119,318.4,51.04,42.06,181,86.13,18.35,117.83,1552,1850,2.25751
